year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,total_sales,transfer_ratio,demand,date
2020,7,"THE COUNTRY VINTNER, LLC DBA WINEBOW",47252,GRAHAMS 20YR TAWNY - 750ML,WINE,0.34,1.0,0.0,0.34,2.941176470588235,1.34,2020-07-01
2020,7,PRESTIGE BEVERAGE GROUP OF MD LLC,47258,HAYMAN OLD TOM GIN - 750ML,LIQUOR,1.63,2.0,1.0,2.63,0.7604562737642586,4.63,2020-07-01
2020,7,SAZERAC CO,47260,SOUTHERN COMFORT 70P - 375ML,LIQUOR,0.72,0.0,0.0,0.72,0.0,0.72,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,47275,CIROC RED BERRY - 1.75L,LIQUOR,4.92,6.0,0.0,4.92,1.2195121951219512,10.92,2020-07-01
2020,7,"THE COUNTRY VINTNER, LLC DBA WINEBOW",47279,GRAHAMS 10YR TAWNY PORT - 750ML,WINE,1.36,2.0,1.0,2.3600000000000003,0.8474576271186439,4.36,2020-07-01
2020,7,SAZERAC CO,47289,HERBSAINT LIQ - 750ML,LIQUOR,0.17,0.0,0.0,0.17,0.0,0.17,2020-07-01
2020,7,CASTLE BRANDS USA CORP,47291,KNAPPOGUE CASTLE 12YR - 750ML,LIQUOR,6.77,8.0,0.0,6.77,1.1816838995568686,14.77,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,47293,BUCHANAN  18YR SPEC RES- 750ML,LIQUOR,29.06,24.0,3.0,32.06,0.7485963817841547,56.06,2020-07-01
2020,7,SAZERAC CO,47298,MEUKOW COGNAC VS - 750ML,LIQUOR,0.08,1.0,0.0,0.08,12.5,1.08,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,47331,SMIRNOFF TWIST WATERMELON - 375ML,LIQUOR,0.4,0.0,0.0,0.4,0.0,0.4,2020-07-01
2020,7,SUTTER HOME WINERY INC,47376,MENAGE A TROIS WHITE - 750ML,WINE,11.02,12.0,15.0,26.02,0.46118370484242893,38.019999999999996,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,47393,CIROC RED BERRY VODKA - 375ML,LIQUOR,0.24,0.0,0.0,0.24,0.0,0.24,2020-07-01
2020,7,DOPS INC,47406,FESS PARKER J/RIES - 750ML,WINE,0.4,1.0,1.0,1.4,0.7142857142857143,2.4,2020-07-01
2020,7,JIM BEAM BRANDS CO,47419,PINNACLE GRAPE VODKA - 1L,LIQUOR,0.0,0.0,1.0,1.0,0.0,1.0,2020-07-01
2020,7,BACARDI USA INC,47422,MARTINI & ROSSI ASTI 24/C - 187ML,WINE,0.12,0.0,1.0,1.12,0.0,1.12,2020-07-01
2020,7,LAIRD AND COMPANY,47437,LAZZARONI MARASCHINO - 750ML,LIQUOR,2.71,3.0,0.0,2.71,1.1070110701107012,5.71,2020-07-01
2020,7,SOUTHERN GLAZERS WINE AND SPIRITS,47439,SALMON CREEK CHARD           81008 - 750ML,WINE,0.0,0.0,3.0,3.0,0.0,3.0,2020-07-01
2020,7,REPUBLIC NATIONAL DISTRIBUTING CO,47463,CAPOSALDO MOSCATO - 750ML,WINE,1.5,2.0,1.0,2.5,0.8,4.5,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,47466,DON JULIO TEQUILA - 70TH ANIVERSARY - 750ML,LIQUOR,36.17,25.0,0.0,36.17,0.6911805363560962,61.17,2020-07-01
2020,7,RELIABLE CHURCHILL LLLP,47475,JUNIOR JOHNSON MIDNIGHT MOONSHINE - 750ML,LIQUOR,0.51,1.0,0.0,0.51,1.9607843137254901,1.51,2020-07-01
2020,7,CONSTELLATION BRANDS,47486,BLACK BOX RIES - 3L,WINE,3.88,5.0,11.0,14.879999999999999,0.3360215053763441,19.88,2020-07-01
2020,7,RELIABLE CHURCHILL LLLP,47497,WHISTLEPIG FARM STRAIGHT RYE - 750ML,LIQUOR,9.82,9.0,0.0,9.82,0.9164969450101833,18.82,2020-07-01
2020,7,SUTTER HOME WINERY INC,47503,MENAGE A TROIS RED - 750ML,WINE,40.79,64.0,89.83,130.62,0.48997090797733883,194.62,2020-07-01
